Province,month,revenue
Sulawesi Barat,5,115019969.26
Sulawesi Barat,6,109547179.67999999
Sulawesi Barat,7,112028439.97
Sulawesi Barat,8,130880331.33
Sulawesi Barat,9,129143641.62
Sulawesi Barat,10,148227563.42000002
Sulawesi Barat,11,152808140.59
Sulawesi Barat,12,168353573.48000002
Sulawesi Selatan,1,1116272027.5
Sulawesi Selatan,2,1102539026.57
Sulawesi Selatan,3,1342596344.75
Sulawesi Selatan,4,1369913335.79
Sulawesi Selatan,5,1375965174.35
Sulawesi Selatan,6,1357586948.1
Sulawesi Selatan,7,1305311763.6399999
Sulawesi Selatan,8,1332068306.7
Sulawesi Selatan,9,1407858622.36
Sulawesi Selatan,10,1521077690.76
Sulawesi Selatan,11,1451686719.88
Sulawesi Selatan,12,1470595884.04
Sulawesi Tengah,1,357781235.88
Sulawesi Tengah,2,342918260.29
Sulawesi Tengah,3,411340777.45
Sulawesi Tengah,4,403405938.46
Sulawesi Tengah,5,411565979.45
Sulawesi Tengah,6,426185952.51
Sulawesi Tengah,7,439104172.58
Sulawesi Tengah,8,426059603.78
Sulawesi Tengah,9,456323770.32
Sulawesi Tengah,10,506387157.11
Sulawesi Tengah,11,505361809.23
Sulawesi Tengah,12,518845340.69
Sulawesi Tenggara,1,236862326.21
Sulawesi Tenggara,2,225833300.81
Sulawesi Tenggara,3,267537999.36
Sulawesi Tenggara,4,232401061.17
Sulawesi Tenggara,5,219282397.13
Sulawesi Tenggara,6,223224738.73
Sulawesi Tenggara,7,202773565.32
Sulawesi Tenggara,8,229528344.11
Sulawesi Tenggara,9,223136506.14000002
Sulawesi Tenggara,10,261415490.88
Sulawesi Tenggara,11,277371373.51
Sulawesi Tenggara,12,254385493.70000002
Sulawesi Utara,1,272758009.69
Sulawesi Utara,2,313485472.46
Sulawesi Utara,3,392879891.5
Sulawesi Utara,4,398773008.45
Sulawesi Utara,5,392206972.18
Sulawesi Utara,6,405309596.91
Sulawesi Utara,7,390129162.44
Sulawesi Utara,8,383912737.16
Sulawesi Utara,9,387883813.08
Sulawesi Utara,10,415256449.39
Sulawesi Utara,11,422114072.4
Sulawesi Utara,12,445785167.8
Sumatera Barat,1,830320825.83
Sumatera Barat,2,823571289.93
Sumatera Barat,3,895766812.37
Sumatera Barat,4,847485256.47
Sumatera Barat,5,864004772.0600001
Sumatera Barat,6,866069281.5
Sumatera Barat,7,839118582.4
Sumatera Barat,8,859266907.05
Sumatera Barat,9,861442321.02
Sumatera Barat,10,938606666.96
Sumatera Barat,11,953857456.38
Sumatera Barat,12,985969598.11
Sumatera Selatan,1,1057509687.07
Sumatera Selatan,2,1003668276.83
Sumatera Selatan,3,1133607485.25
Sumatera Selatan,4,1093361179.31
Sumatera Selatan,5,1052309702.89
Sumatera Selatan,6,1125934002.75
Sumatera Selatan,7,1116851326.8
Sumatera Selatan,8,1094086202.97
Sumatera Selatan,9,1174466600.53
Sumatera Selatan,10,1244743485.42
Sumatera Selatan,11,1314502700.62
Sumatera Selatan,12,1343188686.04
Sumatera Utara,1,2211470073.45
Sumatera Utara,2,2235337100.12
Sumatera Utara,3,2577790572.72
Sumatera Utara,4,2416869247.84
Sumatera Utara,5,2372467575.21
Sumatera Utara,6,2425904342.04
Sumatera Utara,7,2462333729.25
Sumatera Utara,8,2491403832.5
Sumatera Utara,9,2569710860.17
Sumatera Utara,10,2699973235.17
Sumatera Utara,11,2669013157.28
Sumatera Utara,12,2782593085.7
