,tanggal,judul,judul_clean
70,2021-12-01,"Ayah di Ponorogo Cabuli 2 Anak Kandung Selama 8 Tahun, Pelaku Dilaporkan Istri ke Polisi",ayah ponorogo cabul anak kandung laku lapor istri polisi
71,2021-12-01,"Kota Bogor Turun ke PPKM Level 2, Kemungkinan karena Klaster PTM Terbatas",kota bogor turun ppkm level klaster ptm batas
72,2021-12-01,"Video Viral Hewan Mirip Jari Tangan, Apa Itu? Ini Penjelasan Ahli LIPI",video viral hewan jari tangan ahli lipi
73,2021-12-01,5 Tanda Kucing Marah dengan Pemiliknya,tanda kucing marah milik
74,2021-12-01,Ini Deretan Hunian Perumnas yang Bisa Dipilih Warga Jabodetabek,deret huni perumnas pilih warga jabodetabek
75,2021-12-01,Sikap Awal Push-up,sikap push up
76,2021-12-01,"Terungkap, Sopir Angkutan Barang di Medan Dibunuh Sahabatnya karena Dendam ",sopir angkut barang medan bunuh sahabat dendam
77,2021-12-01,"Apa itu NPWP: Pengertian, Manfaat, Jenis, dan Fungsinya",npwp erti manfaat jenis fungsi
78,2021-12-01,Mensesneg: Untuk Pertama Kalinya Komnas Disabilitas Dibentuk,mensesneg kali komnas disabilitas bentuk
79,2021-12-01,"Empat Hari HST Kalsel Terendam Banjir, Pengungsi Mulai Keluhkan Gatal-gatal",hst kalsel rendam banjir ungsi keluh gatal gatal
80,2021-12-01,"Kembali Hadir, FFFest 2021 Jadi Event Kolaborasi Online Terbesar di Indonesia",hadir fffest event kolaborasi online indonesia
81,2021-12-01,"Tabrak Truk Fuso yang Sedang Berhenti di Bypass Bandara Lombok, Seorang Pengendara Motor Tewas",tabrak truk fuso henti bypass bandara lombok orang kendara motor tewas
82,2021-12-01,"Reksadana Pasar Uang: Definisi, Keuntungan, dan Risikonya",reksadana pasar uang definisi untung risiko
83,2021-12-01,Cerita Warga Gunungkidul Relakan Tanahnya Ditempati SD Selama Puluhan Tahun,cerita warga gunungkidul rela tanah sd puluh
84,2021-12-01,"Dua Mahasiswi Unsri Kembali Jadi Korban Pelecehan Seksual, Kali Ini Dilakukan Oknum Staf Kampus",mahasiswi unsri korban leceh seksual kali laku oknum staf kampus
85,2021-12-01,"Dengar Pidato Cak Nun, Indro Enggan Bikin Biopik Warkop DKI ",dengar pidato cak nun indro enggan bikin biopik warkop dki
86,2021-12-01,Lirik dan Chord Lagu 5:15 AM - Mark Knopfler,lirik chord lagu am mark knopfler
87,2021-12-01,Petenis Johanna Konta Putuskan Pensiun,tenis johanna konta putus pensiun
88,2021-12-01,"SKK Migas: Perjalanan Menuju ""Net Zero Emission"" Bukan Sprint...",skk migas jalan tuju net zero emission sprint
89,2021-12-01,"UPDATE 1 Desember: 292.143 Spesimen Terkait Covid-19 Diperiksa, Positivity Rate PCR 0,76 Persen",update desember spesimen kait covid periksa positivity rate pcr persen
90,2021-12-01,"Hikmah Raditya Dika soal Khawatirkan Masa Depan, Akhirnya Siapkan Dana Pensiun",hikmah raditya dika khawatir dana pensiun
91,2021-12-01,"ODGJ yang Bakar Rumah Warga di Blitar Pernah Bunuh Orang, Camat: Sampai Ditolak Panti Rehabilitasi",odgj bakar rumah warga blitar bunuh orang camat tolak panti rehabilitasi
92,2021-12-01,Apindo Karawang: UMK 2022 hanya Berlaku untuk Karyawan yang Belum Setahun Kerja,apindo karawang umk laku karyawan kerja
93,2021-12-01,Jokowi: Saya Ingin Presidensi Indonesia di G20 Tak Sebatas Seremonial,jokowi presidensi indonesia g batas seremonial
94,2021-12-01,RSUD Kota Depok Siapkan Tangki Oksigen Kapasitas 10 Ton untuk Antisipasi Gelombang Ketiga Covid-19,rsud kota depok tangki oksigen kapasitas ton antisipasi gelombang covid
95,2021-12-01,INFOGRAFIK: Aturan Terbaru Karantina Perjalanan Internasional,infografik atur karantina jalan internasional
96,2021-12-01,Lirik dan Chord Lagu Fifteen Minutes - Mike Krol,lirik chord lagu fifteen minutes mike krol
97,2021-12-01,"Hari AIDS Sedunia, Apa Bedanya HIV dengan AIDS?",aids dunia beda hiv aids
98,2021-12-01,9 Ruas Tol Trans-Sumatera Siap Digunakan Libur Natal dan Tahun Baru,ruas tol trans sumatera libur natal
99,2021-12-01,Ini Tarif Pajak Penghasilan Badan dan Cara Menghitungnya,tarif pajak hasil badan hitung
100,2021-12-01,90 Persen Pasien Covid-19 di Wisma Atlet Kemayoran WNI Repatriasi,persen pasien covid wisma atlet mayor wni repatriasi
101,2021-12-01,"Program Pembibitan Ikan di Pangkalpinang Terancam Mandek, gara-gara Tak Ada Anggaran",program bibit ikan pangkalpinang ancam mandek gara gara anggar
102,2021-12-01,"Cedera Pinggang, Kento Momota Mundur dari BWF World Tour Finals 2021 ",cedera pinggang kento momota mundur bwf world tour finals
103,2021-12-01,"Wisatawan Mancanegara Mulai Ramai Kunjungi Jakarta, Paling Banyak dari China",wisatawan mancanegara ramai kunjung jakarta china
104,2021-12-01,8 Ras Anjing Terbaik untuk Berburu,ras anjing buru
105,2021-12-01,"Bantu Atasi Stunting di Medan, Kadin Serahkan 200 Timbangan Bayi ke Kahiyang Ayu",bantu stunting medan kadin serah timbang bayi kahiyang ayu
106,2021-12-01,Randy Martin Masih Betah Jomlo sejak Putus dari Cassandra Lee,randy martin betah jomlo putus cassandra lee
107,2021-12-01,Lirik dan Chord Lagu Love Scene - Baekhyun EXO,lirik chord lagu love scene baekhyun exo
108,2021-12-01,"Rumah Dinasnya Diserang Preman, Wakil Ketua DPRD Riau Mengaku Dapat SMS Ancaman",rumah dinas serang preman wakil ketua dprd riau sms ancam
109,2021-12-01,"Dua Bulan PTM Terbatas, 22 Murid dan 16 Tenaga Pendidik di Tangsel Positif Covid-19",ptm batas murid tenaga didik tangsel positif covid
110,2021-12-01,"1.244 Warga Depok Idap HIV/AIDS, Paling Banyak di Pancoran Mas",warga depok idap hiv aids pancoran mas
111,2021-12-01,Indonesia Larang Kedatangan WNA dari 11 Negara akibat Varian Omicron ,indonesia larang wna negara akibat varian omicron
112,2021-12-01,"Dikeluhkan karena Turun Terus , Berapa Sebenernya Anggaran MPR?",keluh turun sebenernya anggar mpr
113,2021-12-01,Tarif Cukai Rokok Kemungkinan Terbit Pekan Depan,tarif cukai rokok terbit pekan
114,2021-12-01,"BMKG Peringatkan Potensi Siklon Tropis Teratai di Samudera Hindia, Barat Daya Lampung",bmkg potensi siklon tropis teratai samudera hindia barat daya lampung
115,2021-12-01,"Viral, Video Tukang Parkir Pasar Ludahi Perempuan Berdaster di Medan, Ini Kata Polisi",viral video tukang parkir pasar ludah perempuan daster medan polisi
